_id,cand_ana,tweet
592fcced0b09e72334d1707e,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pansin', 'lang', 'laki', 'space', 'pagitan', 'noy', 'binay', 'habang', 'itinataas', 'watawat', 'anyway', 'mas']"
592fcced0b09e72334d17082,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d17083,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d17085,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d17086,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d17088,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pnoy', 'binay', 'lead', 'flag', 'raising', 'ceremony', 'ofth', 'independence', 'day', 'celebration', 'rizal', 'park', '@592fcc950b09e72334d10e3a']"
592fcced0b09e72334d17089,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d1708a,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d1708f,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d17091,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pres', 'aquino', 'leads', 'flag', 'raising', 'ceremony', 'binay', 'mayor', 'erap', 'members', 'cabinet']"
592fcced0b09e72334d17093,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pres', 'aquino', 'leads', 'flag', 'raising', 'ceremony', 'binay', 'mayor', 'erap', 'members', 'cabinet']"
592fcced0b09e72334d170a1,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170a9,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170ab,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170ad,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170b4,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170b6,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['bayot', 'gabie', 'rag', 'binay', 'hahahah', '???']"
592fcced0b09e72334d170d3,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170de,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d170e5,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['watch', 'philippine', 'flag', 'hoisted', 'pnoy', 'binay', 'manila', 'mayor', 'estrada', 'afp', 'officials', '@592fcc950b09e72334d118b3']"
592fcced0b09e72334d1710b,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': 1, 'santiago': -1}","['outgoing', 'jejomar', 'binay', 'inamin', 'posibleng', 'bumalik', 'gobyerno', '@592fcc950b09e72334d0f79c']"
592fcced0b09e72334d17112,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['ovp', 'bares', 'achievements', 'binay', '@592fcc950b09e72334d1148d']"
592fcced0b09e72334d17114,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['jojo', 'binay', 'remain', 'public', 'service', 'around', 'says', '@592fcc950b09e72334d1114a']"
592fcced0b09e72334d17121,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['jojo', 'binay', 'remain', 'public', 'service', 'around', 'says', '@592fcc950b09e72334d10e68']"
592fcced0b09e72334d17122,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['jojo', 'binay', 'remain', 'public', 'service', 'around', 'says', '@592fcc950b09e72334d10e68']"
592fcced0b09e72334d17134,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'iba', 'pang', 'miyembro', 'gabinete', 'kasamang', 'dumalo', 'flag', 'ceremony']"
592fcced0b09e72334d17137,"{'binay': 0, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'iba', 'pang', 'miyembro', 'gabinete', 'kasamang', 'dumalo', 'flag', 'ceremony']"
592fcced0b09e72334d17144,"{'binay': 1, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['jojo', 'binay', 'remain', 'public', 'service', 'around', 'says', '@592fcc950b09e72334d10e68']"
592fcced0b09e72334d1717b,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['find', 'sure', 'binay', 'country']"
592fcced0b09e72334d17192,"{'binay': 2, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['nasa', 'toycon', 'binay', 'hahaha']"
592fcced0b09e72334d171ff,"{'binay': 6, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['pres', 'aquino', 'leads', 'flag', 'raising', 'ceremony', 'binay', 'mayor', 'erap', 'members', 'cabinet']"
592fcced0b09e72334d1721a,"{'binay': 5, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d1199f', 'forever', 'taga', 'kabila', 'peter', 'binay', 'piso', 'madre']"
592fcced0b09e72334d17247,"{'binay': 7, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['@592fcc950b09e72334d119a3', 'sorry', 'mali', 'pindot', 'send', 'hahaha', 'kamusta', 'binay', 'kamusta', 'nanutella', 'hahahaha']"
592fcced0b09e72334d1724d,"{'binay': 0, 'duterte': 5, 'poe': -1, 'roxas': -1, 'santiago': -1}","['binay', 'inaming', 'nakausap', 'president', 'elect', 'rodrigo', 'duterte', 'via', '@592fcc950b09e72334d119a4']"
592fcced0b09e72334d1728a,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['ovp', 'bares', 'achievements', 'binay']"
592fcced0b09e72334d1728d,"{'binay': 3, 'duterte': -1, 'poe': -1, 'roxas': -1, 'santiago': -1}","['?get', 'new', 'followers', 'binay', 'earth']"
592fcced0b09e72334d172a1,"{'binay': 0, 'duterte': -1, 'poe': 3, 'roxas': -1, 'santiago': -1}","['binay', 'said', 'strike', 'grace', 'poe', 'down', 'lord', 'chiz', 'take', 'place', 'side', 'together', 'rule']"
