:)
(:
:-)
(-:
:D
:-D
:P
:-P
;)
(;
;-)
(-;
;D
;-D
:o)
(o:
:]
[:
:3
:c)
:>
<:
=]
[=
8)
(8
=)
(=
:}
{=
8D
xD
XD
X-D
=D
=3
:-))
((-:
:\)
(/:
