:(
):
:-(
)-:
:(
:-(
:-<
>-:
:-[
]-:
:[
]:
:{
}:
:-||
||-:
:@
:\-(
)-/:
)/:
:\(
QQ
D:
D:<
D8
D;
DX
v.v
>.<
D=
